district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Nizamabad,Kotgiri,Jallapalle,M/s DHARAVATH MITYA POULTRY,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.17,4,03/11/2020,10/11/2020,ADVANCED STAGE,Yes,ST
Adilabad,Inderavelly,Indervelly (B),M/S SAI RAM CEMENT BRICKS,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.03,8,29/10/2020,10/11/2020,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Chandurthi,Lingampeta,M/s. SAI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.2225,8,15/10/2020,10/11/2020,INITIAL STAGE,Yes,General
Karimnagar,Ramadugu,Kokkerakunta,M/S. SANVIK MODULAR FURNITURE,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.205,8,28/10/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Timmapur (LMD Colony),Renikunta,M/S. SATHAVAHANA & HATCHERIES PRIVATE LIMITED,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.23,8,28/10/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Mahbubnagar,Jadcherla,Jadcherla,RA CHEM PHARMA LTD,"Formulation/palletization of camphor tablets,naphthalene balls from camphor/ naphthalene powders",Pharmaceuticals and Chemicals,3.9681,150,15/09/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Karimnagar,Karimnagar,M/s. SRI VENKATA KRISHNA READY MIX CONCRETE,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.23,12,12/03/2020,10/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Uppal,Nacharam,SRI MURUGAN GHEE STORE,Bakery /confectionery /sweets products (with production capacity <l tpd (with gas or electrical oven),Food Processing,0.25,0,05/11/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Nizamabad,Dharpalle,Nallavalle,M/S RAMCHANDAR POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.0861,3,03/11/2020,10/11/2020,ADVANCED STAGE,Yes,ST
Suryapet,Mothey,Raghavapur,M/s. Taksh Stone Minerals,Stone crushers,Granite and Stone Crushing,1.5,20,15/10/2020,10/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Nizamabad,Nizamabad North,Arsapally (Part),JAI KISAN AGRO ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.05,2,04/11/2020,10/11/2020,COMMENCED OPERATIONS,Yes,OBC
Yadadri,Choutuppal,Devalamma Nagaram,Ushodaya Enterprises,Manufacturing of Starch/Sago,Agro based incl Cold Storages,2.0,20,16/10/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Sangareddy,Patancheru,Pashamylaram,"Vensan Pharma.,",Pharmaceuticals,Pharmaceuticals and Chemicals,4.65,22,14/10/2020,10/11/2020,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Patancheru,WEBTECH INDUSTRIES,Printing press,Paper and Printing,9.603,15,14/10/2020,10/11/2020,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Sultanpur,VIBRANT CONSTRUCTION EQUIPMENTS PRIVATE LIMITED,"Spray painting, paint baking, paint shipping",Pharmaceuticals and Chemicals,9.893,50,03/10/2020,10/11/2020,Yet to Start Construction,Yes,General
Karimnagar,Chigurumamidi,Chigurumamidi,M/s. SRI VEERA ANJANEYA CEMENT BRICKS INDUSTRY,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,8,25/09/2020,10/11/2020,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Choppadandi,Ragampeta,M/S. BAJARANGI WEDING,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.03,2,18/10/2020,10/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Medchal,Kistapur,SHRI GEETA SACKS PVT LTD,"Gravure printing, digital printing on flex, vinyl",Paper and Printing,4.0,140,06/11/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Mancherial,Dandepalle,Medaripet,M/s KOMURELLI MALLANNA BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.205,6,28/10/2020,10/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Mancherial,Kotapalle,Parpalle,M/s JAI SRI RAM BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,8,28/10/2020,10/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Medchal,Shamirpet,Devaryamjal,PEESARI NAVEEN REDDY,Food and food processing including fruits and vegetable processing,Food Processing,0.25,6,30/10/2020,10/11/2020,INITIAL STAGE,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. J P S INDUSTRIES,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.25,5,04/11/2020,10/11/2020,INITIAL STAGE,Yes,General
Nizamabad,Rudrur,Akbarnagar,MEENAKSHI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.15,10,22/09/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Urban,Khaazipet,Madikonda,"M/s.Jagadama Bricks Mfg.,",Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.18,0,29/10/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Yadadri,Mothkur,Singaram (P),M/S.MAHALAKSHMI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.8283,20,21/10/2020,09/11/2020,COMMENCED OPERATIONS,Yes,General
Mahabubabad,Maripeda,Neelkurthy,DIGAJERLA RAJALINGAM HANDLOOMS AND TEXTILES,Power looms (without dye and bleaching),Textiles,0.046,5,28/10/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Mahabubabad,Thorrur,Thorrur,GUNTUR ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.04,2,02/11/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Mahabubabad,Peddavangara,CHINNAVANGARA,LALITHA LIGHT WEIGHT BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.07,5,04/11/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Mahabubabad,Narsimhulapet,Vanthadupula,BEESHMACHARY WOOD WORKS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.045,4,06/11/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Abdullapurmet,Balijaguda,VAISHNAVI COLD STORAGE SERVICES,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,0.24,20,26/05/2020,09/11/2020,COMMENCED OPERATIONS,Yes,General
Mahabubabad,Danthalapalle,Danthalapalle,SATTAIAH WOOD WORKS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.036,4,06/11/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Sangareddy,Hathnoora,Gundla Machanur,AUROBINDO PHARMA LTD UNIT-IX A,Pharmaceuticals,Pharmaceuticals and Chemicals,9.6327,50,09/12/2019,09/11/2020,Yet to Start Construction,Yes,General
Peddapalli,Kamanpur,Upparlakesaram,SALAM INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.4,8,20/10/2020,09/11/2020,COMMENCED OPERATIONS,Yes,OBC
Khammam,Wyra,Somavaram,SRI LAKSHMI VENATESWARA DALL MILL,Dal Mills,Food Processing,0.5,6,31/10/2020,09/11/2020,ADVANCED STAGE,Yes,General
Karimnagar,Karimnagar,Khazipur,SHIVA SHANKER GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.69,20,31/10/2020,09/11/2020,ADVANCED STAGE,Yes,OBC
Medak,Manoharabad,Kucharam,M/S SARITHA ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.0,0,06/11/2020,08/11/2020,Yet to Start Construction,Yes,General
Nirmal,Nirmal,Nirmal,M/S. GANGADHAR FLOUR MILL,Flour mills (dry process),Food Processing,0.07,3,03/11/2020,07/11/2020,COMMENCED OPERATIONS,Yes,OBC
Narayanpet,Kosgi,Hakimpet,M/S SRI SAI RAGHAVENDRA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.0,9,05/11/2020,07/11/2020,ADVANCED STAGE,Yes,General
Warangal - Rural,Geesugonda,Geesugonda,M/s SRI RAJARAJESHWARA BINNY RICE MILL,Rice mill (Rice hullers only),Food Processing,0.2,12,04/11/2020,07/11/2020,COMMENCED OPERATIONS,Yes,General
Mahabubabad,Maripeda,Abbaipalem,M/s SAI SRINIVASA INDUSTRIES(RICE MILL),Rice mill (Rice hullers only),Food Processing,0.95,12,04/11/2020,07/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Rural,Narsampet,Madannapet,M/s SRI RAMA BINNY RICE MILL,Rice mill (Rice hullers only),Food Processing,0.4,12,06/11/2020,07/11/2020,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Karimnagar,Asifnagar,M/s. SEVEN STAR MARBLES PRIVATE LIMITED,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,8,26/10/2020,07/11/2020,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Karimnagar,Baddipalle,SUSHILA GRANITE AND EXPORTS,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.55,15,02/11/2020,07/11/2020,COMMENCED OPERATIONS,Yes,General
Mancherial,Mancherial,Garmilla,M/s H.G. INFRA ENGINEERING LIMITED,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.237,10,28/06/2020,07/11/2020,INITIAL STAGE,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. AARYAHI POLYMERS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,4,04/11/2020,07/11/2020,INITIAL STAGE,Yes,OBC
Nalgonda,Miryalaguda,Chintha Palle,M/S.K.VASANTHA ICE INDUSTRY,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,0.3682,5,24/10/2020,06/11/2020,INITIAL STAGE,Yes,OBC
Sangareddy,Kondapur,Gollapalle,Bharadwaj Packaging Pvt.Ltd,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,2.72,30,20/09/2018,06/11/2020,COMMENCED OPERATIONS,Yes,General
Sangareddy,Narayankhed,Hanmanthraopet,HKGN TRADERS,Rice mill (Rice hullers only),Food Processing,0.62,18,26/10/2020,06/11/2020,Yet to Start Construction,Yes,General
Rangareddy,Nandigama,Nandigama,HERITOR HI-TECH BATTERIES LLP,Lead acid batterymanufacturing(excluding assembling and charging of lead- acid battery in micro scale)',Pharmaceuticals and Chemicals,0.24,20,10/10/2020,06/11/2020,YET TO START CONSTRUCTION,Yes,General
Medchal,Ghatkesar,Aushapur,FOCUS LABELS PVT LTD,Printing press,Paper and Printing,0.25,5,02/11/2020,06/11/2020,COMMENCED OPERATIONS,Yes,General
Vikarabad,Peddemul,Indoor,AL AZMATH STONE CRUSHER INDUSTRY,Stone crushers,Granite and Stone Crushing,0.25,10,02/11/2020,06/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Uppal,Uppal,MONTE PACK PRIVATE LIMITED,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.23,5,03/11/2020,06/11/2020,INITIAL STAGE,Yes,General
Rangareddy,Gandipet,Narsingi,VARAPRADHA REAL ESTATES PVT LTD (RMC),Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,20,02/11/2020,06/11/2020,COMMENCED OPERATIONS,Yes,General
Khammam,Khammam (Rural),Arempula,M/s. SAI SRI GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.7089,16,20/10/2020,06/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Uppal,Uppal,SWISS CASTLE BAKERY,Bakery /confectionery /sweets products (with production capacity <l tpd (with gas or electrical oven),Food Processing,3.0468,100,21/10/2020,06/11/2020,INITIAL STAGE,Yes,General
Warangal - Rural,Atmakur,Damera,SRI VENKATESHWARA CEMENT BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.14,4,03/11/2020,06/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Uppal,Nacharam,MODERN FOOD ENTERPRISES PRIVATE LIMITED,Food and food processing including fruits and vegetable processing,Food Processing,1.47,20,03/11/2020,06/11/2020,COMMENCED OPERATIONS,Yes,General
Jagtial,Ibrahimpatnam,Komatikondapur,M/S. SRI KRISHNA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.18,2,26/10/2020,06/11/2020,INITIAL STAGE,Yes,OBC
Khammam,Khammam (Rural),Gudimalla,SRI RAMA BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.055,6,29/10/2020,06/11/2020,ADVANCED STAGE,Yes,OBC
Khammam,Khammam (Rural),Edulapuram (Rural),RAGHU RAM ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.049,1,02/11/2020,06/11/2020,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Sarangapur,Beerpur,M/S. SRI VINAYAKA BRICKS INDUSTRY,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,4,29/10/2020,06/11/2020,INITIAL STAGE,Yes,OBC
Rangareddy,Rajendranagar,Ganganpahad,M/S. P.K.F ENTERPRISES,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.2,5,10/10/2020,06/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. AHA PLASTICS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,5,29/10/2020,06/11/2020,COMMENCED OPERATIONS,Yes,General
Wanaparthy,Atmakur,Thippadampalle,SN BABU INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.0,20,04/11/2020,05/11/2020,COMMENCED OPERATIONS,Yes,General
Rangareddy,Kothur,Kothur,PRINCE PLASTO CRAFT,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,1.1205,3,22/10/2020,05/11/2020,COMMENCED OPERATIONS,Yes,General
Suryapet,Kodad,Kodad,M/s AHAMED GENERAL ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.3093,10,21/10/2020,05/11/2020,ADVANCED STAGE,Yes,General
Jangaon,Palakurthy,Palakurthy,CHATHRU POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.08,3,28/10/2020,05/11/2020,ADVANCED STAGE,Yes,ST
Medchal,Ghatkesar,Cherlapally,G-ROC MINING AND CONSTRUCTION PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,2.5,15,04/11/2020,05/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Rural,Duggondi,Nachinapalle,M/S. RAJU AND MOUNIKA MINI FLYASH BRICK UNIT,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.03,6,23/10/2020,05/11/2020,COMMENCED OPERATIONS,Yes,OBC
Adilabad,Narnoor,Narnoor,M/S AADE AKSHAYA INDUSTRIES,Cotton spinning and weaving (medium and large scale),Textiles,0.2,30,31/10/2020,05/11/2020,COMMENCED OPERATIONS,Yes,OBC
Siddipet,Husnabad,Anthakkapeta,KARIMNAGAR MILK PRODUCER COMPANY LIMITED,Milk processes and dairyproducts(integrated project),Food Processing,0.2368,7,21/10/2020,05/11/2020,ADVANCED STAGE,Yes,General
Medak,Manoharabad,Kallakal,GLOSTER CABES LIMITED(FORMERLY CREST CABLES LTD.),Wire drawing and wire netting,Engineering,0.7787,0,06/10/2020,04/11/2020,Yet to Start Construction,Yes,General
Medak,Manoharabad,Kallakal,"GLOSTER CABLES LTD.,UNIT-II",Wire drawing and wire netting,Engineering,1.566,0,30/09/2020,04/11/2020,Yet to Start Construction,Yes,General
Bhadradri Kothagudem,Burgampahad,Laxmipuram,SRI RAMA BAGS INDUSTRY,Paper pins and u clips,Others,0.24,20,28/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Ghatkesar,Cherlapally,HASINI PACKAGING,Blending and packing of tea,Food Processing,0.22,5,12/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,General
Mancherial,Mandamarri,Venkatapur,M/s VENKATESHWARA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.25,4,26/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,OBC
Khammam,Wyra,Rebbavaram,M/s. SAI BABA FLYASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,8,28/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,General
Khammam,Wyra,Rebbavaram,M/s. SAI BABA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.17,6,28/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,General
Siddipet,Mulug,Damarakunta,SAI JYOTHI POULTRY FORMS,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.62,15,26/09/2020,04/11/2020,ADVANCED STAGE,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,SRI RANI BHUWAL INDUSTRIES UNIT-II,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,1.9391,10,28/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,General
Vikarabad,Pudur,Kothapalle,KURA SHIVASHANKAR,Flour mills (dry process),Food Processing,0.022,4,24/10/2020,04/11/2020,COMMENCED OPERATIONS,Yes,OBC
Warangal - Rural,Parvathagiri,Parvathagiri,M/S. OMKARAM FLOUR MILL,Flour mills (dry process),Food Processing,0.04,2,28/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,OBC
Jangaon,Narmetta,Narmetta,KARIMNAGAR MILK PRODUCER COMPANY LIMITED,Milk processes and dairyproducts(integrated project),Food Processing,0.2475,7,21/10/2020,03/11/2020,ADVANCED STAGE,Yes,General
Nirmal,Mudhole,Machkal,M/S.S.V. BIOFLOC FISH FORM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1,4,24/10/2020,03/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Karimnagar,Shankarapatnam,Kothaghat,KARIMNAGAR MILK PRODUCER COMPANY LIMITED,Milk processes and dairyproducts(integrated project),Food Processing,0.2368,7,21/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,General
Bhadradri Kothagudem,Dammapeta,Ganeshpadu,M/s. K K DEVI FARMS,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.3,6,08/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,ST
Medchal,Shamirpet,Turkapally,Albany Molecular Research Hyderabad ResearchCentre,Pharmaceuticals,Pharmaceuticals and Chemicals,2.0,38,24/09/2020,03/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Karimnagar,Asifnagar,M/s. KARTHIKEYA IRONS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2085,9,21/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Karimnagar,Baddipalle,S R INDUSTRIES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.691,15,19/10/2020,03/11/2020,ADVANCED STAGE,Yes,General
Karimnagar,Gangadhara,Vaddyaram,SREE RAMA ENTERPRISES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,0,16/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,OBC
Mahabubabad,Gudur,Gudur,Devi Sri Mini Rice Mill,Rice mill (Rice hullers only),Food Processing,0.1,4,08/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Urban,Warangal,ENUMAMULA,M/s MAHENDER REDDY AND COMPANY,Rice mill (Rice hullers only),Food Processing,0.06,12,31/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Urban,Elkathurthi,Penchakalpeta,JAI KISAN TOOL INDUSTRY,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.285,12,19/10/2020,03/11/2020,ADVANCED STAGE,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,M S SACHIN PLASITCS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.225,9,22/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Dundigal Gandimaisamma,Dommara pochampally,SRI VENKATESHWARA ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.0907,3,19/10/2020,03/11/2020,COMMENCED OPERATIONS,Yes,General
Mancherial,Jaipur,Kankur,M/s LAXMI GANAPATHI FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,6,23/10/2020,02/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Mancherial,Dandepalle,Lingapur,KARIMNAGAR MILK PRODUCER COMPANY LIMITED,Milk processes and dairyproducts(integrated project),Food Processing,0.2425,7,26/10/2020,02/11/2020,ADVANCED STAGE,Yes,General
Mancherial,Bhimini,Jankapur,M/s BAA FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,6,23/10/2020,02/11/2020,COMMENCED OPERATIONS,Yes,General
